[Trigger - (0)language; (1)Loacation; (2)boss; (3)emote,de-buff or ability; (4)text to search; (5)text to speech;
(6)timer; (7)countdown; (8)timeout (the trigger will be ignored for the specified time);
(9)number of events before the trigger fires; (10)depending on other triggers; (11)timer and countdown reset]

trigger = ger; MoM; Pagura; ability; Pagura -> Curse; curse; 0; 0; 5; 0; 0; 0
trigger = ger; MoM; Fauxmire; ability; Fauxmire -> Rückkehr der Dämmerung; purple area; 60; 0; 0; 0; 0; 0

trigger = ger; MoM; Lady Neid; ability; Lady Neid -> Umarmung des Neids; kick; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Lady Neid; ability; Fokus des Neids -> $player; intercept $player; 0; 0; 5; 0; 0; 0
trigger = ger; MoM; Lady Neid; ability; Lady Neid -> Blitzschneller Schlag; Tank damage; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Lady Neid; debuff; $player <- Bosheit; tank swap; 0; 0; 0; 3; 0; 0
trigger = ger; MoM; Lady Neid; debuff; $player <- remove Bosheit; tank swap; 0; 0; 0; -3; 0; 0
trigger = ger; MoM; Lady Neid; ability; -> Detonation der Zwietracht;  group heal in; 0; 4; 10; 0; 0; 0
trigger = ger; MoM; Lady Neid; ability; -> Detonation der Zwietracht; heal; 4; 0; 10; 0; 0; 0
trigger = ger; MoM; Lady Neid; ability; Lady Neid -> Verlockung ;  incoming group damage; 0; 0; 10; 0; 0; 0
trigger = ger; MoM; Lady Neid; emote; Meine Erinnerungen erwachen. Macht Euch auf Euer Ende gefasst; Portal Time; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Lady Neid; ability; Lady Neid -> Singularity; kill the Guardian of Envy; 0; 0; 10; 0; 0; 0

trigger = ger; MoM; Dark Genesis; debuff; Combat Begin -> Dark Genesis; split; 30; 0; 0; 0; 0; 0
trigger = ger; MoM; Dark Genesis; debuff; Dark Genesis -> Hope Breaker; healing core; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Dark Genesis; debuff; $player <- Pin Down; $player Pin Down; 0; 0; 5; 0; 0; 0
trigger = ger; MoM; Dark Genesis; ability; Dark Genesis -> Purging Flames; jump in; 0; 3; 0; 0; 0; 0
trigger = ger; MoM; Dark Genesis; ability; Dark Genesis -> The End; The End; 0; 0; 0; 0; 0; 0
trigger = ger; MoM; Dark Genesis; ability; Dark Genesis -> The End; 20 seconds; 77; 0; 0; 0; 0; 0
trigger = ger; MoM; Dark Genesis; ability; Dark Genesis -> The End; 10 seconds; 87; 0; 0; 0; 0; 0
trigger = ger; MoM; Dark Genesis; ability; Dark Genesis -> The End; 5 seconds; 92; 0; 0; 0; 0; 0
trigger = ger; MoM; Dark Genesis; ability; Dark Genesis -> The End; Game Over; 97; 0; 0; 0; 0; 0

trigger = ger; MoM; Enigma; ability; Enigma -> Emission of Turmoil; Cleanse; 0; 10; 0; 0; 0; 0


[Special Trigger alternates between states - language; Loacation; boss; emote or ability; text to search; text to speech status 1; text to speech status 2; ... ]
special = ger; MoM; Dark Genesis; ability; Dark Genesis -> Calamity || Dark Genesis -> Destruction || Dark Genesis -> Ruination || Dark Genesis -> Hope Slayer; 1; 2; 3; 4
